C1, 12.96, 24.50, 180.00, 0.1uF, 0805
C17, 24.87, 9.11, 90.00, 4.7uF, CAPC1608-0603
C24, 15.35, 16.80, 180.00, 0.1uF, 0402
C25, 15.76, 18.77, 180.00, 4.7uF, CAPC1608-0603
C29, 23.30, 9.10, 90.00, 4.7uF, CAPC1608-0603
C3, 45.20, 7.00, 90.00, 0.1uF, 0402
C30, 15.10, 11.40, 180.00, 0.1uF, 0402
C4, 40.10, 7.00, 90.00, 10uF, CAPC1608-0603
C42, 43.63, 2.86, 90.00, 10uF, CAPC1608-0603
C43, 46.43, 3.12, 90.00, 1uF, 0402
C44, 45.10, 3.12, 90.00, 0.1uF, 0402
C53, 30.58, 30.88, 270.00, 47uF, 0805
C54, 32.66, 31.14, 270.00, 4.7uF, CAPC1608-0603
C55, 34.06, 30.90, 270.00, 470nF, 0402
C56, 35.30, 30.90, 270.00, 470nF, 0402
C59, 27.86, 31.52, 180.00, 100uF, 0805
C60, 27.58, 28.26, 180.00, 4.7uF, CAPC1608-0603
C61, 27.58, 29.76, 180.00, 4.7uF, CAPC1608-0603
C62, 27.30, 24.58, 180.00, 470nF, 0402
C63, 27.30, 23.42, 180.00, 470nF, 0402
C64, 27.30, 22.26, 180.00, 470nF, 0402
C65, 27.30, 21.08, 180.00, 47nF, 0402
C66, 27.30, 25.76, 180.00, 47nF, 0402
C67, 27.32, 26.92, 180.00, 47nF, 0402
D1, 7.85, 24.90, 0.00, DIODEB5817W, SOD-123
D2, 12.41, 30.05, 180.00, green, 0402
D3, 18.12, 30.90, 90.00, red, 0402
D4, 16.32, 30.90, 90.00, red, 0402
D5, 14.52, 30.90, 90.00, red, 0402
D6, 30.50, 4.10, 270.00, red, 0402
D7, 29.20, 4.10, 270.00, red, 0402
D8, 27.90, 4.10, 270.00, red, 0402
D9, 26.60, 4.10, 270.00, red, 0402
J4, 6.25, 17.00, 270.00, USB4105-GF-A, GCT_USB4105-GF-A
M1, 41.00, 30.10, 270.00, SISS23DN, POWERPAK1212-8
M2, 47.00, 30.10, 270.00, SISS23DN, POWERPAK1212-8
Q1, 3.50, 27.96, 0.00, FDN302P, SSOT-3
R16, 24.10, 3.30, 180.00, 0.82R, 0603
R17, 24.00, 28.20, 180.00, 0.82R, 0603
R18, 24.00, 26.60, 180.00, 0.82R, 0603
R19, 3.30, 24.50, 0.00, 0.82R, 0603
R20, 24.10, 6.70, 180.00, 0.82R, 0603
R21, 24.00, 31.40, 180.00, 0.82R, 0603
R26, 24.10, 5.00, 180.00, 0.82R, 0603
R28, 24.00, 29.80, 180.00, 0.82R, 0603
R29, 15.90, 24.90, 180.00, 0R, 0402
R3, 12.40, 27.39, 0.00, 10K, 0402
R33, 24.58, 23.50, 180.00, 100R, 0402
R34, 24.56, 24.70, 0.00, 10K, 0402
R36, 18.12, 28.10, 90.00, 499R, 0402
R38, 16.32, 28.10, 90.00, 499R, 0402
R4, 12.40, 26.10, 0.00, 0R, 0402
R40, 14.52, 28.10, 90.00, 499R, 0402
R42, 9.10, 16.90, 180.00, 27R, 0402
R43, 9.10, 18.10, 180.00, 27R, 0402
R5, 12.42, 31.40, 0.00, 2K, 0402
R52, 38.59, 6.79, 90.00, 1K, 0402
R54, 39.90, 4.00, 90.00, 1K, 0402
R55, 38.56, 3.99, 90.00, 1K, 0402
R6, 12.42, 28.70, 0.00, 1K, 0402
R62, 27.98, 11.12, 0.00, 1K, 0402
R63, 30.50, 6.40, 270.00, 499R, 0402
R64, 29.20, 6.40, 270.00, 499R, 0402
R67, 27.90, 6.40, 270.00, 499R, 0402
R69, 26.60, 6.40, 270.00, 499R, 0402
S1, 12.00, 3.60, 270.00, TACTILE-SWITCH, TACTILE-SWITCH
S2, 7.00, 3.60, 90.00, TACTILE-SWITCH, TACTILE-SWITCH
S3, 17.00, 3.60, 90.00, TACTILE-SWITCH, TACTILE-SWITCH
U1, 42.55, 6.65, 180.00, REF3012AIDBZR, SOT-23(3PIN)
U10, 51.60, 23.00, 180.00, CY7C1051DV33, BGA-48
U2, 8.60, 29.60, 90.00, MCP73833T-AMI/MF, DFN-10(3X3X0.9)
U6, 15.09, 13.47, 180.00, W25Q16JVUXIQ, USON8-2X3MM
U7, 22.00, 17.00, 90.00, RP2040, QFN40P700X700X100-57T310N
U8, 38.00, 17.00, 270.00, SPARTAN7-LX15, FTGB196
U9, 51.60, 11.00, 270.00, S25FL256S, WSON6X8MM
X2, 36.10, 5.38, 90.00, 32MHz, 3.2X2.5_OSC
X3, 32.80, 5.38, 90.00, 100MHz, 3.2X2.5_OSC
